Value, Timestamp, Time Difference (ms)
-4.865492554900967, 14:13:53.119, 0
1.182494985158238, 14:13:53.194, 75
1.1824949850666595, 14:13:53.294, 100
1.182494985116472, 14:13:53.394, 100
1.1824949850248936, 14:13:53.494, 100
1.1824949850747062, 14:13:53.594, 100
1.1824949851245186, 14:13:53.694, 100
1.18249498503294, 14:13:53.794, 100
1.1824949850827526, 14:13:53.894, 100
1.1824949851325652, 14:13:53.994, 100
1.1824949850409867, 14:13:54.094, 100
1.1824949850907993, 14:13:54.194, 100
1.1824949851406117, 14:13:54.294, 100
1.1824949850490334, 14:13:54.394, 100
1.1824949850988458, 14:13:54.494, 100
1.1824949851486584, 14:13:54.594, 100
1.1824949850570798, 14:13:54.694, 100
1.1824949851068924, 14:13:54.794, 100
1.1824949851567048, 14:13:54.894, 100
1.1824949850651265, 14:13:54.994, 100
1.182494985114939, 14:13:55.094, 100
1.1824949850233604, 14:13:55.194, 100
1.182494985073173, 14:13:55.294, 100
1.1824949851229856, 14:13:55.394, 100
1.182494985031407, 14:13:55.494, 100
1.1824949850812196, 14:13:55.594, 100
1.182494985131032, 14:13:55.694, 100
1.1824949850394537, 14:13:55.794, 100
1.182494985089266, 14:13:55.894, 100
1.1824949851390787, 14:13:55.994, 100
1.1824949850475002, 14:13:56.094, 100
1.1824949850973128, 14:13:56.194, 100
1.1824949851471251, 14:13:56.294, 100
1.1824949850555468, 14:13:56.394, 100
1.1824949851053592, 14:13:56.494, 100
1.1824949851551718, 14:13:56.594, 100
1.1824949850635933, 14:13:56.694, 100
1.1824949851134057, 14:13:56.794, 100
1.1824949850218274, 14:13:56.894, 100
1.18249498507164, 14:13:56.994, 100
1.1824949851214523, 14:13:57.094, 100
1.1824949850298738, 14:13:57.194, 100
1.1824949850796864, 14:13:57.294, 100
1.182494985129499, 14:13:57.394, 100
1.1824949850379205, 14:13:57.494, 100
1.1824949850877329, 14:13:57.594, 100
1.1824949851375455, 14:13:57.694, 100
1.1824949850459672, 14:13:57.794, 100
1.1824949850957795, 14:13:57.894, 100
1.1824949851455921, 14:13:57.994, 100
1.1824949850540136, 14:13:58.094, 100
1.182494985103826, 14:13:58.194, 100
1.1824949851536388, 14:13:58.294, 100
1.18249498506206, 14:13:58.394, 100
1.1824949851118727, 14:13:58.494, 100
1.1824949851616853, 14:13:58.594, 100
